objeto,change_type,api_name,label,type,detail,picklist_value_label,picklist_value_api,picklist_value_active
Quote,added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""label"":""Tipo Agrupación"",""name"":""pz_AddressGroupType__c"",""custom"":true,""picklistValues"":[{""active"":true,""label"":""URBANIZACIÓN"",""value"":""URBANIZACION""},{""active"":true,""label"":""UNIDAD VECINAL"",""value"":""UNIDAD VECINAL""},{""active"":true,""label"":""PUEBLO JOVEN"",""value"":""PUEBLO JOVEN""},{""active"":true,""label"":""CONJUNTO RESIDENCIAL"",""value"":""CONJUNTO RESIDENCIAL""},{""active"":true,""label"":""CONJUNTO HABITACIONAL"",""value"":""CONJUNTO HABITACIONAL""},{""active"":true,""label"":""ASENTAMIENTO HUMANO"",""value"":""ASENTAMIENTO HUMANO""},{""active"":true,""label"":""CENTRO POBLADO"",""value"":""CENTRO POBLADO""},{""active"":true,""label"":""AGRUPACION"",""value"":""AGRUPACION""},{""active"":true,""label"":""PARQUE INDUSTRIAL"",""value"":""PARQUE INDUSTRIAL""},{""active"":true,""label"":""COOPERATIVA"",""value"":""COOPERATIVA""},{""active"":true,""label"":""GALERIA"",""value"":""GALERIA""},{""active"":true,""label"":""BARRIO"",""value"":""BARRIO""},{""active"":true,""label"":""ASOCIACION"",""value"":""ASOCIACION""},{""active"":true,""label"":""AMPLIACION"",""value"":""AMPLIACION""},{""active"":true,""label"":""CIUDAD"",""value"":""CIUDAD""},{""active"":true,""label"":""COMITÉ"",""value"":""COMITÉ""},{""active"":true,""label"":""FUNDO"",""value"":""FUNDO""},{""active"":true,""label"":""HACIENDA"",""value"":""HACIENDA""},{""active"":true,""label"":""URBANIZACION POPULAR"",""value"":""URBANIZACION POPULAR""},{""active"":true,""label"":""LOTIZACION"",""value"":""LOTIZACION""},{""active"":true,""label"":""OTROS"",""value"":""OTROS""},{""active"":true,""label"":""Programa de Vivienda"",""value"":""Programa de Vivienda""},{""active"":true,""label"":""JUNTA DE PROPIETARIOS"",""value"":""JUNTA DE PROPIETARIOS""},{""active"":true,""label"":""PROGRAMA RESIDENCIAL DE VIVIENDA"",""value"":""PROGRAMA RESIDENCIAL DE VIVIENDA""},{""active"":true,""label"":""PROGRAMA RESIDENCIAL"",""value"":""PROGRAMA RESIDENCIAL""},{""active"":true,""label"":""JUNTA DE POSESIONARIOS"",""value"":""JUNTA DE POSESIONARIOS""},{""active"":true,""label"":""ORGANIZACION VECINAL"",""value"":""ORGANIZACION VECINAL""},{""active"":true,""label"":""EXPANSION URBANA"",""value"":""EXPANSION URBANA""},{""active"":true,""label"":""AGRUPACION FAMILIAR"",""value"":""AGRUPACION FAMILIAR""},{""active"":true,""label"":""COMUNIDAD CAMPESINA"",""value"":""COMUNIDAD CAMPESINA""},{""active"":true,""label"":""HABILITACION URBANA"",""value"":""HABILITACION URBANA""},{""active"":true,""label"":""AGRUPACION DE FAMILIAS"",""value"":""AGRUPACION DE FAMILIAS""},{""active"":true,""label"":""ASOCIACION DE VIVIENDA DE PROPIETARIOS"",""value"":""ASOCIACION DE VIVIENDA DE PROPIETARIOS""},{""active"":true,""label"":""ASOCIACION DE POBLADORES"",""value"":""ASOCIACION DE POBLADORES""},{""active"":true,""label"":""JUNTA VECINAL"",""value"":""JUNTA VECINAL""},{""active"":true,""label"":""ASOCIACION DE POSESIONARIOS"",""value"":""ASOCIACION DE POSESIONARIOS""},{""active"":true,""label"":""AGRUPACION DE VIVIENDA"",""value"":""AGRUPACION DE VIVIENDA""},{""active"":true,""label"":""ANEXO COMUNAL"",""value"":""ANEXO COMUNAL""},{""active"":true,""label"":""AGRUPACION VECINAL"",""value"":""AGRUPACION VECINAL""},{""active"":true,""label"":""RESIDENCIAL"",""value"":""RESIDENCIAL""},{""active"":true,""label"":""LOTIZADORA"",""value"":""LOTIZADORA""},{""active"":true,""label"":""ASOCIACION DE VIVIENDA"",""value"":""ASOCIACION DE VIVIENDA""},{""active"":true,""label"":""EDIFICIO"",""value"":""EDIFICIO""},{""active"":true,""label"":""ASOCIACION DE PROPIETARIOS"",""value"":""ASOCIACION DE PROPIETARIOS""},{""active"":true,""label"":""ASOCIACION PRO VIVIENDA"",""value"":""ASOCIACION PRO VIVIENDA""}],""referenceTo"":[],""type"":""picklist"",""precision"":0,""scale"":0,""length"":255}",,,
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""URBANIZACIÓN"",""value"":""URBANIZACION""}",URBANIZACIÓN,URBANIZACION,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""UNIDAD VECINAL"",""value"":""UNIDAD VECINAL""}",UNIDAD VECINAL,UNIDAD VECINAL,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""PUEBLO JOVEN"",""value"":""PUEBLO JOVEN""}",PUEBLO JOVEN,PUEBLO JOVEN,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""CONJUNTO RESIDENCIAL"",""value"":""CONJUNTO RESIDENCIAL""}",CONJUNTO RESIDENCIAL,CONJUNTO RESIDENCIAL,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""CONJUNTO HABITACIONAL"",""value"":""CONJUNTO HABITACIONAL""}",CONJUNTO HABITACIONAL,CONJUNTO HABITACIONAL,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""ASENTAMIENTO HUMANO"",""value"":""ASENTAMIENTO HUMANO""}",ASENTAMIENTO HUMANO,ASENTAMIENTO HUMANO,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""CENTRO POBLADO"",""value"":""CENTRO POBLADO""}",CENTRO POBLADO,CENTRO POBLADO,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""AGRUPACION"",""value"":""AGRUPACION""}",AGRUPACION,AGRUPACION,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""PARQUE INDUSTRIAL"",""value"":""PARQUE INDUSTRIAL""}",PARQUE INDUSTRIAL,PARQUE INDUSTRIAL,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""COOPERATIVA"",""value"":""COOPERATIVA""}",COOPERATIVA,COOPERATIVA,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""GALERIA"",""value"":""GALERIA""}",GALERIA,GALERIA,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""BARRIO"",""value"":""BARRIO""}",BARRIO,BARRIO,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""ASOCIACION"",""value"":""ASOCIACION""}",ASOCIACION,ASOCIACION,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""AMPLIACION"",""value"":""AMPLIACION""}",AMPLIACION,AMPLIACION,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""CIUDAD"",""value"":""CIUDAD""}",CIUDAD,CIUDAD,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""COMITÉ"",""value"":""COMITÉ""}",COMITÉ,COMITÉ,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""FUNDO"",""value"":""FUNDO""}",FUNDO,FUNDO,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""HACIENDA"",""value"":""HACIENDA""}",HACIENDA,HACIENDA,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""URBANIZACION POPULAR"",""value"":""URBANIZACION POPULAR""}",URBANIZACION POPULAR,URBANIZACION POPULAR,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""LOTIZACION"",""value"":""LOTIZACION""}",LOTIZACION,LOTIZACION,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""OTROS"",""value"":""OTROS""}",OTROS,OTROS,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""Programa de Vivienda"",""value"":""Programa de Vivienda""}",Programa de Vivienda,Programa de Vivienda,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""JUNTA DE PROPIETARIOS"",""value"":""JUNTA DE PROPIETARIOS""}",JUNTA DE PROPIETARIOS,JUNTA DE PROPIETARIOS,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""PROGRAMA RESIDENCIAL DE VIVIENDA"",""value"":""PROGRAMA RESIDENCIAL DE VIVIENDA""}",PROGRAMA RESIDENCIAL DE VIVIENDA,PROGRAMA RESIDENCIAL DE VIVIENDA,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""PROGRAMA RESIDENCIAL"",""value"":""PROGRAMA RESIDENCIAL""}",PROGRAMA RESIDENCIAL,PROGRAMA RESIDENCIAL,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""JUNTA DE POSESIONARIOS"",""value"":""JUNTA DE POSESIONARIOS""}",JUNTA DE POSESIONARIOS,JUNTA DE POSESIONARIOS,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""ORGANIZACION VECINAL"",""value"":""ORGANIZACION VECINAL""}",ORGANIZACION VECINAL,ORGANIZACION VECINAL,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""EXPANSION URBANA"",""value"":""EXPANSION URBANA""}",EXPANSION URBANA,EXPANSION URBANA,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""AGRUPACION FAMILIAR"",""value"":""AGRUPACION FAMILIAR""}",AGRUPACION FAMILIAR,AGRUPACION FAMILIAR,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""COMUNIDAD CAMPESINA"",""value"":""COMUNIDAD CAMPESINA""}",COMUNIDAD CAMPESINA,COMUNIDAD CAMPESINA,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""HABILITACION URBANA"",""value"":""HABILITACION URBANA""}",HABILITACION URBANA,HABILITACION URBANA,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""AGRUPACION DE FAMILIAS"",""value"":""AGRUPACION DE FAMILIAS""}",AGRUPACION DE FAMILIAS,AGRUPACION DE FAMILIAS,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""ASOCIACION DE VIVIENDA DE PROPIETARIOS"",""value"":""ASOCIACION DE VIVIENDA DE PROPIETARIOS""}",ASOCIACION DE VIVIENDA DE PROPIETARIOS,ASOCIACION DE VIVIENDA DE PROPIETARIOS,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""ASOCIACION DE POBLADORES"",""value"":""ASOCIACION DE POBLADORES""}",ASOCIACION DE POBLADORES,ASOCIACION DE POBLADORES,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""JUNTA VECINAL"",""value"":""JUNTA VECINAL""}",JUNTA VECINAL,JUNTA VECINAL,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""ASOCIACION DE POSESIONARIOS"",""value"":""ASOCIACION DE POSESIONARIOS""}",ASOCIACION DE POSESIONARIOS,ASOCIACION DE POSESIONARIOS,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""AGRUPACION DE VIVIENDA"",""value"":""AGRUPACION DE VIVIENDA""}",AGRUPACION DE VIVIENDA,AGRUPACION DE VIVIENDA,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""ANEXO COMUNAL"",""value"":""ANEXO COMUNAL""}",ANEXO COMUNAL,ANEXO COMUNAL,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""AGRUPACION VECINAL"",""value"":""AGRUPACION VECINAL""}",AGRUPACION VECINAL,AGRUPACION VECINAL,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""RESIDENCIAL"",""value"":""RESIDENCIAL""}",RESIDENCIAL,RESIDENCIAL,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""LOTIZADORA"",""value"":""LOTIZADORA""}",LOTIZADORA,LOTIZADORA,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""ASOCIACION DE VIVIENDA"",""value"":""ASOCIACION DE VIVIENDA""}",ASOCIACION DE VIVIENDA,ASOCIACION DE VIVIENDA,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""EDIFICIO"",""value"":""EDIFICIO""}",EDIFICIO,EDIFICIO,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""ASOCIACION DE PROPIETARIOS"",""value"":""ASOCIACION DE PROPIETARIOS""}",ASOCIACION DE PROPIETARIOS,ASOCIACION DE PROPIETARIOS,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""ASOCIACION PRO VIVIENDA"",""value"":""ASOCIACION PRO VIVIENDA""}",ASOCIACION PRO VIVIENDA,ASOCIACION PRO VIVIENDA,True
Quote,added,pz_AddressInternalType__c,Tipo Interior,picklist,"{""label"":""Tipo Interior"",""name"":""pz_AddressInternalType__c"",""custom"":true,""picklistValues"":[{""active"":true,""label"":""Interior"",""value"":""Interior""},{""active"":true,""label"":""Departamento"",""value"":""Departamento""},{""active"":true,""label"":""Puerta"",""value"":""Puerta""}],""referenceTo"":[],""type"":""picklist"",""precision"":0,""scale"":0,""length"":255}",,,
Quote,picklist_value_added,pz_AddressInternalType__c,Tipo Interior,picklist,"{""active"":true,""label"":""Interior"",""value"":""Interior""}",Interior,Interior,True
Quote,picklist_value_added,pz_AddressInternalType__c,Tipo Interior,picklist,"{""active"":true,""label"":""Departamento"",""value"":""Departamento""}",Departamento,Departamento,True
Quote,picklist_value_added,pz_AddressInternalType__c,Tipo Interior,picklist,"{""active"":true,""label"":""Puerta"",""value"":""Puerta""}",Puerta,Puerta,True
Quote,added,pz_AddressLot__c,Lote,string,"{""label"":""Lote"",""name"":""pz_AddressLot__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":10}",,,
Quote,added,pz_AddressNumberType__c,Tipo Número,picklist,"{""label"":""Tipo Número"",""name"":""pz_AddressNumberType__c"",""custom"":true,""picklistValues"":[{""active"":true,""label"":""MANZANA - LOTE"",""value"":""MANZANA - LOTE""},{""active"":true,""label"":""NUMERO MUNICIPAL"",""value"":""NUMERO MUNICIPAL""}],""referenceTo"":[],""type"":""picklist"",""precision"":0,""scale"":0,""length"":255}",,,
Quote,picklist_value_added,pz_AddressNumberType__c,Tipo Número,picklist,"{""active"":true,""label"":""MANZANA - LOTE"",""value"":""MANZANA - LOTE""}",MANZANA - LOTE,MANZANA - LOTE,True
Quote,picklist_value_added,pz_AddressNumberType__c,Tipo Número,picklist,"{""active"":true,""label"":""NUMERO MUNICIPAL"",""value"":""NUMERO MUNICIPAL""}",NUMERO MUNICIPAL,NUMERO MUNICIPAL,True
Quote,added,pz_AddressSectorName__c,Sector,string,"{""label"":""Sector"",""name"":""pz_AddressSectorName__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":30}",,,
Quote,added,pz_AddressSectorType__c,Tipo Sector,picklist,"{""label"":""Tipo Sector"",""name"":""pz_AddressSectorType__c"",""custom"":true,""picklistValues"":[{""active"":true,""label"":""Sector"",""value"":""Sector""},{""active"":true,""label"":""Etapa"",""value"":""Etapa""},{""active"":true,""label"":""Bloque"",""value"":""Bloque""},{""active"":true,""label"":""Edificio"",""value"":""Edificio""}],""referenceTo"":[],""type"":""picklist"",""precision"":0,""scale"":0,""length"":255}",,,
Quote,picklist_value_added,pz_AddressSectorType__c,Tipo Sector,picklist,"{""active"":true,""label"":""Sector"",""value"":""Sector""}",Sector,Sector,True
Quote,picklist_value_added,pz_AddressSectorType__c,Tipo Sector,picklist,"{""active"":true,""label"":""Etapa"",""value"":""Etapa""}",Etapa,Etapa,True
Quote,picklist_value_added,pz_AddressSectorType__c,Tipo Sector,picklist,"{""active"":true,""label"":""Bloque"",""value"":""Bloque""}",Bloque,Bloque,True
Quote,picklist_value_added,pz_AddressSectorType__c,Tipo Sector,picklist,"{""active"":true,""label"":""Edificio"",""value"":""Edificio""}",Edificio,Edificio,True
Quote,added,pz_AddressStreetAddres__c,Nombre Calle,string,"{""label"":""Nombre Calle"",""name"":""pz_AddressStreetAddres__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":255}",,,
Quote,added,pz_AddressStreetNumber__c,Nro. Calle,string,"{""label"":""Nro. Calle"",""name"":""pz_AddressStreetNumber__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":15}",,,
Quote,added,pz_AddressWayType__c,Tipo Vía,picklist,"{""label"":""Tipo Vía"",""name"":""pz_AddressWayType__c"",""custom"":true,""picklistValues"":[{""active"":true,""label"":""ALAMEDA"",""value"":""AL""},{""active"":true,""label"":""AVENIDA"",""value"":""AV""},{""active"":true,""label"":""BAJADA"",""value"":""BJ""},{""active"":true,""label"":""CARRETERA"",""value"":""CAR""},{""active"":true,""label"":""CALLE"",""value"":""CL""},{""active"":true,""label"":""JIRÓN"",""value"":""JR""},{""active"":true,""label"":""MALECON"",""value"":""ML""},{""active"":true,""label"":""PLAZA"",""value"":""PL""},{""active"":true,""label"":""PARQUE"",""value"":""PQ""},{""active"":true,""label"":""PROLONGACIÓN"",""value"":""PR""},{""active"":true,""label"":""PASAJE"",""value"":""PSJ""}],""referenceTo"":[],""type"":""picklist"",""precision"":0,""scale"":0,""length"":255}",,,
Quote,picklist_value_added,pz_AddressWayType__c,Tipo Vía,picklist,"{""active"":true,""label"":""ALAMEDA"",""value"":""AL""}",ALAMEDA,AL,True
Quote,picklist_value_added,pz_AddressWayType__c,Tipo Vía,picklist,"{""active"":true,""label"":""AVENIDA"",""value"":""AV""}",AVENIDA,AV,True
Quote,picklist_value_added,pz_AddressWayType__c,Tipo Vía,picklist,"{""active"":true,""label"":""BAJADA"",""value"":""BJ""}",BAJADA,BJ,True
Quote,picklist_value_added,pz_AddressWayType__c,Tipo Vía,picklist,"{""active"":true,""label"":""CARRETERA"",""value"":""CAR""}",CARRETERA,CAR,True
Quote,picklist_value_added,pz_AddressWayType__c,Tipo Vía,picklist,"{""active"":true,""label"":""CALLE"",""value"":""CL""}",CALLE,CL,True
Quote,picklist_value_added,pz_AddressWayType__c,Tipo Vía,picklist,"{""active"":true,""label"":""JIRÓN"",""value"":""JR""}",JIRÓN,JR,True
Quote,picklist_value_added,pz_AddressWayType__c,Tipo Vía,picklist,"{""active"":true,""label"":""MALECON"",""value"":""ML""}",MALECON,ML,True
Quote,picklist_value_added,pz_AddressWayType__c,Tipo Vía,picklist,"{""active"":true,""label"":""PLAZA"",""value"":""PL""}",PLAZA,PL,True
Quote,picklist_value_added,pz_AddressWayType__c,Tipo Vía,picklist,"{""active"":true,""label"":""PARQUE"",""value"":""PQ""}",PARQUE,PQ,True
Quote,picklist_value_added,pz_AddressWayType__c,Tipo Vía,picklist,"{""active"":true,""label"":""PROLONGACIÓN"",""value"":""PR""}",PROLONGACIÓN,PR,True
Quote,picklist_value_added,pz_AddressWayType__c,Tipo Vía,picklist,"{""active"":true,""label"":""PASAJE"",""value"":""PSJ""}",PASAJE,PSJ,True
Quote,added,pz_AdressStandard__c,Código Ubigeo,string,"{""label"":""Código Ubigeo"",""name"":""pz_AdressStandard__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":6}",,,
Quote,added,pz_AlternateAddressInternalUnitNumber__c,Interior,string,"{""label"":""Interior"",""name"":""pz_AlternateAddressInternalUnitNumber__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":255}",,,
Quote,added,pz_CompletedWork__c,Obra Concluida,boolean,"{""label"":""Obra Concluida"",""name"":""pz_CompletedWork__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""boolean"",""precision"":0,""scale"":0,""length"":0}",,,
Quote,added,pz_District__c,Distrito,string,"{""label"":""Distrito"",""name"":""pz_District__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":80}",,,
Quote,added,pz_PostalCode__c,Código postal,string,"{""label"":""Código postal"",""name"":""pz_PostalCode__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":20}",,,
Quote,added,pz_ProvinceAddress__c,Provincia,string,"{""label"":""Provincia"",""name"":""pz_ProvinceAddress__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":80}",,,
Quote,added,pz_Reference__c,Referencia,string,"{""label"":""Referencia"",""name"":""pz_Reference__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":255}",,,
Quote,added,pz_StateAddress__c,Departamento,string,"{""label"":""Departamento"",""name"":""pz_StateAddress__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":80}",,,
Quote,added,pz_VisitAdjustmentsRealStateDone__c,Adecuaciones Cliente Inmobiliario Hecho,boolean,"{""label"":""Adecuaciones Cliente Inmobiliario Hecho"",""name"":""pz_VisitAdjustmentsRealStateDone__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""boolean"",""precision"":0,""scale"":0,""length"":0}",,,
Quote_Line_Item,added,Status,Status,picklist,"{""label"":""Status"",""name"":""Status"",""custom"":false,""picklistValues"":[],""referenceTo"":[],""type"":""picklist"",""precision"":0,""scale"":0,""length"":40}",,,
Quote_Line_Item,added,vlocity_cmt__AmendedOrderItemId__c,Amended Order Item,reference,"{""label"":""Amended Order Item"",""name"":""vlocity_cmt__AmendedOrderItemId__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[""OrderItem""],""type"":""reference"",""precision"":0,""scale"":0,""length"":18}",,,
